Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n0,n0,Akaka,51,45.98399990797043,3.0,0.6139240506329114,8.458200468509748E-4,0.010708402,0.010708402,0,0.01052641586071395,0,0.9882352941176471,1260,0.8491077945123819
n1,n1,Alexander,47,37.94599997997284,2.0,0.6598639455782314,0.007957508449167575,0.009884679,0.009884679,1,0.010466865259903785,0,0.9269195189639223,1002,0.5094774461398345
n2,n2,Allard,43,36.01899975538254,3.0,0.4923857868020305,8.35267858485328E-5,0.009060956,0.009060956,1,0.010056010612194832,0,0.9878183831672204,892,0.4491847948845743
n3,n3,Baucus,53,44.710999965667725,3.0,0.673611111111111,0.010569649025329567,0.0111202635,0.0111202635,0,0.010335166502338183,0,0.9216255442670537,1270,0.8705200036963011
n4,n4,Bayh,50,41.19799983501434,3.0,0.5511363636363636,0.0,0.010502472,0.010502472,0,0.009579924626955111,0,1.0,1225,0.8305383715469283
n5,n5,Bennett,47,38.361999809741974,2.0,0.6598639455782314,0.007957508449167575,0.009884679,0.009884679,1,0.010565043473236894,0,0.9269195189639223,1002,0.5094774461398345
n6,n6,Biden,50,44.510000228881836,3.0,0.5511363636363636,0.0,0.010502472,0.010502472,0,0.010226986009904938,0,1.0,1225,0.8305383715469283
n7,n7,Bingaman,51,45.57499986886978,3.0,0.6139240506329114,8.458200468509748E-4,0.010708402,0.010708402,0,0.010446578379499426,0,0.9882352941176471,1260,0.8491077945123819
n8,n8,Bond,46,36.6120001077652,3.0,0.5987654320987654,0.0023888135122236307,0.0096787475,0.0096787475,1,0.010174640659177914,0,0.9545893719806763,988,0.49009984396824885
n9,n9,Boxer,50,44.564999997615814,3.0,0.5511363636363636,0.0,0.010502472,0.010502472,0,0.010238261779611119,0,1.0,1225,0.8305383715469283
n10,n10,Brown,50,45.15100014209747,3.0,0.5511363636363636,0.0,0.010502472,0.010502472,0,0.010353352819024783,0,1.0,1225,0.8305383715469282
n11,n11,Brownback,46,38.399000108242035,2.0,0.6554054054054055,0.007952839391943608,0.0096787475,0.0096787475,1,0.010573577915693966,0,0.9246376811594202,957,0.49890988931199953
n12,n12,Bunning,44,36.074999928474426,3.0,0.49743589743589745,1.71634621262722E-4,0.009266886,0.009266886,1,0.01007279512923813,0,0.9788583509513742,926,0.45911439319987446
n13,n13,Burr,44,36.735000014305115,3.0,0.49743589743589745,1.71634621262722E-4,0.009266886,0.009266886,1,0.010229192807689767,0,0.9788583509513742,926,0.45911439319987446
